City,Region,Country,PlaceName,PlaceID,Lat,Long
Matadi,Kongo Central,Democratic Republic of Congo,"Matadi, Kongo Central, Democratic Republic of Congo",matadi_kongo_central_democratic_republic_of_congo,-5.8226,13.47482
Luanda,,Angola,"Luanda, Angola",luanda_angola,,
Lobito,,Angola,"Lobito, Angola",lobito_angola,,
Grand-Bassam,,Ivory Coast,"Grand-Bassam, Ivory Coast",grand_bassam_ivory_coast,,
Freetown,,Sierra Leone,"Freetown, Sierra Leone",freetown_sierra_leone,,
Carrington Town,,Barbados,"Carrington Town, Barbados",carrington_town_barbados,13.1973298,-59.579361
Belmont,,Trinidad,"Belmont, Trinidad",belmont_trinidad,10.66797,-61.50878
Ibiza,,Spain,"Ibiza, Spain",ibiza_spain,29.896,-81.31671
Kumasi,,Ghana,"Kumasi, Ghana",kumasi_ghana,,
Zaria,,Nigeria,"Zaria, Nigeria",zaria_nigeria,,
Ilorin,,Nigeria,"Ilorin, Nigeria",ilorin_nigeria,,
Tegina,,Nigeria,"Tegina, Nigeria",tegina_nigeria,,
Kaduna,,Nigeria,"Kaduna, Nigeria",kaduna_nigeria,,
Benin,,Nigeria,"Benin, Nigeria",benin_nigeria,,
Sapele,,Nigeria,"Sapele, Nigeria",sapele_nigeria,,
Canterbury,,UK,"Canterbury, UK",canterbury_uk,,
Las Villas,,Cuba,"Las Villas, Cuba",las_villas_cuba,,
San Fernando,,Trinidad,"San Fernando, Trinidad",san_fernando_trinidad,,
Houston,Texas,USA,"Houston, Texas, USA",houston_texas_usa,,
Austin,Texas,USA,"Austin, Texas, USA",austin_texas_usa,,
Storrs,Connecticut,USA,"Storrs, Connecticut, USA",storrs_connecticut_usa,,
Ithaca,New York,USA,"Ithaca, New York, USA",ithaca_new_york_usa,,
Kansas City,Missouri,USA,"Kansas City, Missouri, USA",kansas_city_missouri_usa,,
Hato Rey,,Puerto Rico,"Hato Rey, Puerto Rico",hato_rey_puerto_rico,,
Carolina,,Puerto Rico,"Carolina, Puerto Rico",carolina_puerto_rico,,
Rio Piedras,,Puerto Rico,"Rio Piedras, Puerto Rico",rio_piedras_puerto_rico,,
San Juan,,Puerto Rico,"San Juan, Puerto Rico",san_juan_puerto_rico,,
Limuru,,Kenya,"Limuru, Kenya",limuru_kenya,,
Georgetown,,Guyana,"Georgetown, Guyana",georgetown_guyana,,
Cave Hill,,Barbados,"Cave Hill, Barbados",cave_hill_barbados,,
Buxton,,Guyana,"Buxton, Guyana",buxton_guyana,,
Chapel Hill,,North Carolina,"Chapel Hill, North Carolina",chapel_hill_north_carolina,,
Tunapuna,,Trinidad,"Tunapuna, Trinidad",tunapuna_trinidad,,
Ann Arbor,,Michigan,"Ann Arbor, Michigan",ann_arbor_michigan,,
Saint Croix,,Virgin Islands,"Saint Croix, Virgin Islands",saint_croix_virgin_islands,,
Binghamton,,New York,"Binghamton, New York",binghamton_new_york,,
Durham,,North Carolina,"Durham, North Carolina",durham_north_carolina,,
Saint Augustine,,Trinidad,"Saint Augustine, Trinidad",saint_augustine_trinidad,29.896,-81.316711
Providence,,Rhode Island,"Providence, Rhode Island",providence_rhode_island,,
New Orleans,,Louisiana,"New Orleans, Louisiana",new_orleans_louisiana,,
Amherst,Massachusetts,USA,"Amherst, Massachusetts, USA",amherst_massachusetts_usa,,
Cartagena,,Colombia,"Cartagena, Colombia",cartagena_colombia,,
Montgomery,Alabama,USA,"Montgomery, Alabama, USA",montgomery_alabama_usa,32.3792233,-86.3077368
Carriacou,,Saint Vincent and the Grenadines,"Carriacou, Saint Vincent and the Grenadines",carriacou_saint_vincent_and_the_grenadines,12.984305,-61.287228
Lewisburg,Pennsylvania,USA,"Lewisburg, Pennsylvania, USA",lewisburg_pennsylvania_usa,40.9645293,-76.8844101
Coral Gables,Florida,USA,"Coral Gables, Florida, USA",coral_gables_florida_usa,25.7491968,-80.2635411
Nelson,,UK,"Nelson, UK",nelson_uk,,
Minneapolis,Minnesota,USA,"Minneapolis, Minnesota, USA",minneapolis_minnesota_usa,44.977753,-93.2650108
Denver,Colorado,USA,"Denver, Colorado, USA",denver_colorado_usa,,
Veracruz,,Mexico,"Veracruz, Mexico",veracruz_mexico,,
Lincoln,Pennsylvania,USA,"Lincoln, Pennsylvania, USA",lincoln_pennsylvania_usa,,
Ellis Island,New York,USA,"Ellis Island, New York, USA",ellis_island_new_york_usa,,
Edinburgh,Scotland,UK,"Edinburgh, Scotland, UK",edinburgh_scotland_uk,,
Santiago de Cuba,,Cuba,"Santiago de Cuba, Cuba",santiago_de_cuba_cuba,,
Hamilton,,Bermuda,"Hamilton, Bermuda",hamilton_bermuda,,
Evanston,Illinois,USA,"Evanston, Illinois, USA",evanston_illinois_usa,,
Irvine,California,USA,"Irvine, California, USA",irvine_california_usa,,
East Lansing,Michigan,USA,"East Lansing, Michigan, USA",east_lansing_michigan_usa,,
Greensboro,North Carolina,USA,"Greensboro, North Carolina, USA",greensboro_north_carolina_usa,,
Buffalo,New York,USA,"Buffalo, New York, USA",buffalo_new_york_usa,,
New Brunswick,New Jersey,USA,"New Brunswick, New Jersey, USA",new_brunswick_new_jersey_usa,,
Jackson,Mississippi,USA,"Jackson, Mississippi, USA",jackson_mississippi_usa,,
Rutgers,New Jersey,USA,"Rutgers, New Jersey, USA",rutgers_new_jersey_usa,,
Greenville,Mississippi,USA,"Greenville, Mississippi, USA",greenville_mississippi_usa,,
Savannah,Georgia,USA,"Savannah, Georgia, USA",savannah_georgia_usa,,
Oberlin,Ohio,USA,"Oberlin, Ohio, USA",oberlin_ohio_usa,,
Northampton,Massachusetts,USA,"Northampton, Massachusetts, USA",northampton_massachusetts_usa,42.3250896,-72.6412013
Petrograd,,Russia,"Petrograd, Russia",petrograd_russia,59.9342802,30.3350986
Port Louis,,Mauritius,"Port Louis, Mauritius",port_louis_mauritius,-20.1608912,57.5012222
