Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Kingston, Jamaica",1951-04-03,,"Love Letters from I Tatti, Vol 1",,1951-04-10,"Love Letters from I Tatti, Vol 1","Letter sent by assistant to Berenson says she is recovering from emergency appendix operation at the Andrews Memorial Hospital, Hope Road, Half Way Tree, Kingston, Jamaica. This is actually dated 1950 in the manuscript but doesn't make sense that this would be the timing, so seems error on Dunham's part in later manuscript. ",,,,Kingston,,Jamaica
"Port-au-Prince, Haiti",1951-05,,Das 2014,,1951-08,Das 2014,Performances and Recuperation in Haiti; finalizes purchase of Leclerc,,,,Port-au-Prince,,Haiti
"Port-au-Prince, Haiti",1951-06-13,,Love Letters from I Tatti  vol. 1,,1951-06-13,Love Letters from I Tatti  vol. 1,Writes to Berenson from Maison Le Clerc,,,,Port-au-Prince,,Haiti
"Las Vegas, Nevada, USA",1951-08-15,,Das 2014,,1951-09,Das 2014,Performances at El Rancho nightclub,,,,Las Vegas,California,US
"Los Angeles, California, USA",1951-09,,Das 2014,,1951-09,Das 2014,Performances at Ciro's Nightclub,,,,Los Angeles,California,US
"Paris, France",1951-10-29,,Love Letters from I Tatti vol 1,,1951-10-29,Love Letters from I Tatti vol 1,Writes to Berenson from Theatre des Champs Elysees,,,,Paris,,France
"Paris, France",1951-11-14,,Das 2014,,1951-12,Das 2014,Performances at the Champs-Elysees Theatre,,,,Paris,,France
"Paris, France",1951-11-27,,Love Letters from I Tatti vol 1,,1951-11-27,Love Letters from I Tatti vol 1,Writes to Berenson from Theatre des Champs Elysees,,,,Paris,,France
"Paris, France",1951-12-14,,Love Letters from I Tatti vol 1,,1951-12-14,Love Letters from I Tatti vol 1,"Section describing several weeks in Paris, dated 14 Dec 1950 (but seems error on Dunham's part as must be 1951). Describes time with Marie-Christine, who she says was ""just over 4 years old."" Also writes letter to Berenson dated 14 December 1951 from Theatre des Champs Elysees, which confirms date error in header. ",,,,Paris,,France
"London, England",1952-01-24,,Love Letters from I Tatti vol 1,,1952-01-24,Love Letters from I Tatti vol 1,"Writes to Berenson from 13 Little Chester St, London S.W. 1. ""It looks like we will be at this adress fomr some little time then.""",,,,London,,England
